Stationary,1740493241825,1740493283181
Stationary,1740493336774,1740493388639
Walking-flat-surface,1740493618848,1740493657905
Walking-flat-surface,1740493662038,1740493713129
Walking-flat-surface,1740493756254,1740493788534
Walking-down-stairs,1740493864548,1740493882212
Walking-up-stairs,1740493893494,1740493911426
Walking-up-stairs,1740493962183,1740493971973
Walking-up-stairs,1740493974348,1740493979845
Walking-up-stairs,1740493995389,1740494006483
Walking-up-stairs,1740494010000,1740494025206
Walking-down-stairs,1740494034927,1740494050450
Walking-down-stairs,1740494069118,1740494082241
Walking-down-stairs,1740494096344,1740494108727
Walking-down-stairs,1740494111567,1740494123055
Elevator-up,1740494164432,1740494182231
Elevator-down,1740494193089,1740494212171
Elevator-up,1740494219235,1740494241707
Elevator-down,1740494319933,1740494340086
Elevator-up,1740494350619,1740494371735
Running,1740494689165,1740494709193
Running,1740494711064,1740494727481
Running,1740494801149,1740494817041
